run;size;total_loading_time;total_computing_time;total_time
0;1;0.5972669124603271;6.456408977508545;7.053675889968872
1;1;0.6097660064697266;0.38055849075317383;0.9903244972229004
2;1;0.7903335094451904;0.36594343185424805;1.1562769412994385
3;1;0.5085666179656982;0.3805112838745117;0.88907790184021
4;1;0.5635380744934082;0.3882267475128174;0.9517648220062256
5;1;0.5503087043762207;0.5737996101379395;1.1241083145141602
6;1;0.7032885551452637;0.3773226737976074;1.080611228942871
7;1;0.6383209228515625;0.40256476402282715;1.0408856868743896
8;1;0.7164211273193359;0.37027883529663086;1.0866999626159668
9;1;0.587395429611206;0.3718092441558838;0.9592046737670898
